Class,Filename
1,worm-000001_000.npy
1,worm-000001_001.npy
2,worm-000001_002.npy
1,worm-000001_003.npy
1,worm-000001_004.npy
2,worm-000001_012.npy
2,worm-000001_018.npy
2,worm-000001_031.npy
2,worm-000001_033.npy
4,worm-000001_036.npy
1,worm-000001_037.npy
2,worm-000001_038.npy
4,worm-000001_040.npy
0,worm-000001_041.npy
4,worm-000001_042.npy
2,worm-000001_043.npy
1,worm-000001_046.npy
1,worm-000001_049.npy
4,worm-000001_050.npy
1,worm-000001_051.npy
4,worm-000001_052.npy
4,worm-000001_056.npy
4,worm-000001_059.npy
4,worm-000001_063.npy
0,worm-000001_064.npy
4,worm-000001_065.npy
4,worm-000001_068.npy
4,worm-000001_069.npy
4,worm-000001_071.npy
4,worm-000001_072.npy
4,worm-000001_073.npy
4,worm-000001_074.npy
4,worm-000001_076.npy
4,worm-000001_079.npy
4,worm-000001_080.npy
4,worm-000001_081.npy
4,worm-000001_083.npy
4,worm-000001_084.npy
1,worm-000001_086.npy
1,worm-000001_087.npy
1,worm-000001_088.npy
1,worm-000001_089.npy
1,worm-000001_090.npy
1,worm-000001_091.npy
1,worm-000001_093.npy
1,worm-000001_095.npy
1,worm-000001_098.npy
4,worm-000001_103.npy
0,worm-000001_106.npy
4,worm-000001_107.npy
0,worm-000001_109.npy
4,worm-000001_110.npy
1,worm-000001_111.npy
4,worm-000001_113.npy
4,worm-000001_114.npy
4,worm-000001_115.npy
4,worm-000001_116.npy
4,worm-000001_117.npy
4,worm-000001_118.npy
4,worm-000001_119.npy
5,worm-000001_120.npy
4,worm-000001_121.npy
4,worm-000001_123.npy
4,worm-000001_125.npy
1,worm-000001_127.npy
1,worm-000001_129.npy
1,worm-000001_130.npy
1,worm-000001_131.npy
1,worm-000001_132.npy
1,worm-000001_133.npy
2,worm-000001_135.npy
1,worm-000001_136.npy
1,worm-000001_139.npy
1,worm-000001_143.npy
1,worm-000001_145.npy
1,worm-000001_147.npy
1,worm-000001_148.npy
5,worm-000001_151.npy
3,worm-000001_152.npy
1,worm-000001_153.npy
1,worm-000001_154.npy
3,worm-000001_162.npy
0,worm-000001_166.npy
4,worm-000001_167.npy
